year,global_avg_temp,city_avg_temp
1796,8.27,26.53
1797,8.51,27.48
1798,8.67,26.2
1799,8.51,26.84
1800,8.48,26.88
1801,8.59,26.05
1802,8.58,27.44
1803,8.5,27.22
1804,8.84,27.65
1805,8.56,27.02
1806,8.43,26.89
1807,8.28,26.15
1813,7.74,26.25
1814,7.59,25.65
1815,7.24,25.8
1816,6.94,25.38
1817,6.98,25.61
1818,7.83,25.83
1819,7.37,25.78
1820,7.62,25.88
1821,8.09,26.45
1822,8.19,26.43
1823,7.72,26.65
1824,8.55,27.1
1825,8.39,26.72
1826,8.36,26.89
1827,8.81,26.73
1828,8.17,26.63
1829,7.94,26.47
1830,8.52,26.45
1831,7.64,26.41
1832,7.45,26.63
1833,8.01,26.5
1834,8.15,26.56
1835,7.39,25.8
1836,7.7,26.19
1837,7.38,26.24
1838,7.51,26.33
1839,7.63,26.34
1840,7.8,26.44
1841,7.69,26.12
1842,8.02,26.27
1843,8.17,26.01
1844,7.65,26.08
1845,7.85,26.39
1846,8.55,26.82
1847,8.09,26.31
1848,7.98,26.32
1849,7.98,26.26
1850,7.9,26.47
1851,8.18,26.45
1852,8.1,26.4
1853,8.04,26.7
1854,8.21,26.79
1855,8.11,26.81
1856,8,26.24
1857,7.76,25.82
1858,8.1,26.6
1859,8.25,26.6
1860,7.96,26.41
1861,7.85,26.26
1862,7.56,24.38
1865,8.18,26.96
1866,8.29,26.97
1867,8.44,26.91
1868,8.25,26.8
1869,8.43,26.78
1870,8.2,26.45
1871,8.12,26.59
1872,8.19,26.54
1873,8.35,26.6
1874,8.43,26.57
1875,7.86,26.6
1876,8.08,26.9
1877,8.54,27.22
1878,8.83,27.34
1879,8.17,26.29
1880,8.12,26.71
1881,8.27,26.61
1882,8.13,26.52
1883,7.98,26.28
1884,7.77,26.18
1885,7.92,26.53
1886,7.95,26.51
1887,7.91,26.28
1888,8.09,26.81
1889,8.32,26.89
1890,7.97,26.69
1891,8.02,27
1892,8.07,26.79
1893,8.06,25.9
1894,8.16,26.75
1895,8.15,26.63
1896,8.21,27.44
1897,8.29,27.6
1898,8.18,26.89
1899,8.4,27.19
1900,8.5,27.65
1901,8.54,27.01
1902,8.3,27.38
1903,8.22,26.73
1904,8.09,26.68
1905,8.23,26.92
1906,8.38,27.1
1907,7.95,26.67
1908,8.19,26.65
1909,8.18,26.77
1910,8.22,26.61
1911,8.18,27.03
1912,8.17,27.15
1913,8.3,27.03
1914,8.59,26.75
1915,8.59,27.01
1916,8.23,26.66
1917,8.02,25.93
1918,8.13,26.76
1919,8.38,27.05
1920,8.36,27.24
1921,8.57,26.94
1922,8.41,26.85
1923,8.42,26.93
1924,8.51,27.13
1925,8.53,26.56
1926,8.73,27.13
1927,8.52,27.25
1928,8.63,27.19
1929,8.24,27.2
1930,8.63,27.03
1931,8.72,27.11
1932,8.71,26.66
1933,8.34,26.36
1934,8.63,26.72
1935,8.52,26.98
1936,8.55,27.09
1937,8.7,26.85
1938,8.86,26.68
1939,8.76,26.85
1940,8.76,26.72
1941,8.77,27.74
1942,8.73,27.19
1943,8.76,26.53
1944,8.85,26.85
1945,8.58,26.7
1946,8.68,26.93
1947,8.8,27.07
1948,8.75,27.26
1949,8.59,26.86
1950,8.37,26.88
1951,8.63,27.1
1952,8.64,27.28
1953,8.87,27.44
1954,8.56,27.03
1955,8.63,26.81
1956,8.28,26.79
1957,8.73,27.24
1958,8.77,27.55
1959,8.73,27.38
1960,8.58,27.31
1961,8.8,27.04
1962,8.75,26.73
1963,8.86,26.81
1964,8.41,27.2
1965,8.53,27.21
1966,8.6,27.46
1967,8.7,27.01
1968,8.52,26.9
1969,8.6,27.34
1970,8.7,26.84
1971,8.6,26.71
1972,8.5,27.68
1973,8.95,27.63
1974,8.47,27.01
1975,8.74,26.72
1976,8.35,27.12
1977,8.85,27.32
1978,8.69,27.01
1979,8.73,27.67
1980,8.98,27.7
1981,9.17,27.1
1982,8.64,27.43
1983,9.03,27.35
1984,8.69,27.38
1985,8.66,27.51
1986,8.83,27.71
1987,8.99,27.54
1988,9.2,27.44
1989,8.92,27.06
1990,9.23,26.91
1991,9.18,27.35
1992,8.84,27.24
1993,8.87,27.24
1994,9.04,27.07
1995,9.35,27.24
1996,9.04,27.37
1997,9.2,27.47
1998,9.52,27.87
1999,9.29,27.24
2000,9.2,27.23
2001,9.41,27.56
2002,9.57,27.67
2003,9.53,27.84
2004,9.32,27.23
2005,9.7,27.49
2006,9.53,27.47
2007,9.73,27.55
2008,9.43,27.45
2009,9.51,28.03
2010,9.7,27.69
2011,9.52,27.41
2012,9.51,28.02
2013,9.61,28.85
